tau_ns,dI_fA,dI_err_fA
0.8644581226094914,-0.32480866221963156,0.36690815321788256
5.809773061790466,-2.5943967172590963,0.3608695126714398
10.75508800097144,-2.080687527957018,0.36671571531613384
15.70040394000533,-1.9954614466285188,0.37304928361227324
20.64571887918629,-3.3576679066118933,0.39654944554780797
25.591033818367265,-3.168101059745676,0.3785096546285041
30.53634875754824,-3.7129097433871143,0.3678012812269866
35.4816636967292,-3.677698027691582,0.3699718823857431
40.426978635910174,-4.646951499807055,0.3701971128400599
45.37229457494408,-4.3147578349585105,0.39203138530148085
50.31760951412505,-5.302033237761594,0.39958979963602553
55.26292445330603,-4.837908619134162,0.391706398241945
60.20823939248697,-5.5257173543615705,0.40387335907023775
65.15355433166795,-4.763324129167902,0.36179581426033264
70.09886927084892,-5.464576508904919,0.35924004582228053
75.04418520988284,-5.688442274818889,0.41347345676183966
79.98950014906382,-5.698720938005355,0.36358307273080287
84.93481508824476,-6.656010261685505,0.44290376894994715
89.88013002742574,-5.259763803495665,0.3921093935713459
94.82544496660671,-6.455055172347694,0.391790906983006
99.77075990578768,-6.37591395932145,0.38962039482926336
104.71607584482157,-6.879193983180513,0.3628167969638895
109.66139078400255,-6.583654310021795,0.4488657796834513
114.60670572318352,-7.353245522437388,0.3815169329268279
119.5520206623645,-6.770309027111936,0.398847958211129
124.49733560154547,-6.987048156462673,0.37261330730075626
129.44265154057936,-7.395624531508893,0.39686052182691334
134.38796647976034,-7.803225810381584,0.38957346135609977
139.3332814189413,-7.4364118454465205,0.4561551428238665
144.2785963581223,-7.760917368188587,0.45851431214410077
149.22391129730323,-7.898953279876809,0.4095777943910005
154.1692262364842,-7.763039236032461,0.4064090041905679
159.11454217551812,-8.064834298834345,0.3706633947434363
164.0598571146991,-8.310809474300992,0.400701700627825
169.00517205388002,-8.336200991142825,0.35572628575873527
173.950486993061,-8.442386457035429,0.4473945269107345
178.89580193224194,-8.270347629473427,0.42133224793584145
183.84111687142283,-8.58261990945552,0.40251715487378864
188.78643281045677,-7.941720984809261,0.35923354266739654
193.73174774963772,-8.684418756591885,0.3828716091183082
198.67706268881867,-9.10414606522751,0.4427796855883269
203.6223776279996,-9.393151237237944,0.4105010840493476
208.5676925671805,-9.046386535235811,0.4489920259669377
213.51300750636145,-8.889094373038166,0.4171819571062054
218.4583234453954,-8.622727319740793,0.4361451742165571
223.40363838457634,-9.625910296138734,0.4202872693615726
228.34895332375729,-9.755273886742359,0.4297019576828806
233.29426826293817,-9.24746678403076,0.3840880909292081
238.23958320211912,-9.61322072165807,0.4745414283004192
243.18489914115307,-9.830600260254467,0.41038311333337396
248.130214080334,-9.413369866466805,0.4165092302880188
253.0755290195149,-9.770331528314703,0.39459255677048816
258.0208439586959,-9.72262172265241,0.4322284219981018
262.96615889787677,-9.15993411998086,0.38992091272629514
267.91147383705777,-9.635440267473555,0.398961720269464
272.85678977609166,-9.724624887104184,0.4521004044366288
277.80210471527255,-9.911945836122754,0.4391715267283169
282.74741965445355,-10.28203026594137,0.43299818386722555
287.69273459363444,-10.07989928365696,0.4378670960193011
292.63804953281544,-10.635265597082384,0.46954041155983994
297.58336447199633,-9.739759982853556,0.4312234996727755
302.5286804110302,-10.308356288278762,0.3917325939291688
307.4739953502112,-9.526235711693488,0.40705424507193455
312.4193102893921,-10.257161079027075,0.4516779545455898
317.3646252285731,-9.730560484224046,0.46574100985744094
322.309940167754,-10.12676369145747,0.3948891901684899
327.255255106935,-9.446518525478933,0.37221251273551514
332.2005710459689,-10.806734442216452,0.4020021777684875
337.1458859851498,-10.284241975201397,0.44120920213506193
342.0912009243308,-10.725183670733468,0.4653002567023247
347.0365158635117,-11.341655249970344,0.4027215040215306
351.9818308026927,-10.689449892240177,0.38469370682047205
356.9271457418736,-10.556588829455642,0.42879430580845046
361.87246168090746,-10.522805022668976,0.44068613310183763
366.81777662008847,-9.46915351868844,0.4133824585308249
371.76309155926936,-10.416910124222998,0.4309118474064397
376.70840649845036,-11.213091838435979,0.3889787463465935
381.65372143763125,-11.220694725521852,0.3979215645737537
386.59903737666514,-10.407403203053846,0.4284605234745564
391.54435231584614,-10.647648695310806,0.4553010273212261
396.48966725502703,-10.481811421816488,0.44319080739997274
