J_over_2pi_MHz,gap_s-1
0.0,100.00000000000001
9.999999999999999e-06,100.00003454360034
1.1351307054434312e-05,100.0000445103544
1.2885217184405017e-05,100.00005735247855
1.4626405672325488e-05,100.00007389999205
1.6602882188928633e-05,100.00009522177878
1.88464413715127e-05,100.000122695328
2.1393174289143478e-05,100.00015809559449
2.4284049022509708e-05,100.000203709609
2.756556969794431e-05,100.00026248425789
3.1290524577177595e-05,100.00033821666246
3.5518835236986624e-05,100.00043579909419
4.0318520499089626e-05,100.00056153666142
4.5766790616566954e-05,100.0007235527977
5.195128931846545e-05,100.0009323134946
5.897150369276548e-05,100.00120130618711
6.694036458782878e-05,100.00154790911132
7.598606327722256e-05,100.00199451450877
8.625411361174285e-05,100.0025699749581
9.79096928314955e-05,100.00331146867984
0.00011114029869356504,100.00426689964995
0.00012615876565922013,100.00549799246758
0.00014320668866062307,100.0070842832317
0.0001625583095235507,100.00912825264102
0.00018452492856515975,100.01176195166238
0.0002094599123340685,100.01515553022384
0.00023776437804989045,100.01952823029748
0.0002698936461850908,100.02516254886451
0.0003063645649887816,100.0324224907101
0.00034776382477858555,100.04177708347315
0.0003947573957486216,100.05383067821275
0.00044810124111514414,100.06936199892337
0.0005086534779371106,100.08937444292067
0.000577388181237007,100.1151609108792
0.0006554110534822635,100.1483873349526
0.0007439772114947442,100.19120030412134
0.0008445113769178649,100.24636574491458
0.0009586307950357793,100.31744761001424
0.0010881712506287614,100.4090381451243
0.0012352165993694854,100.52705453686323
0.0014021322898177201,100.67912122123235
0.001591603415265802,100.87506244941291
0.0018066779075568442,101.12753698099444
0.0020508155677140625,101.45285590494375
0.002327943722113632,101.87203641469574
0.0026425203995154543,102.41215962371196
0.002999606045250635,103.1081201391952
0.0034049449261977305,104.00488042837455
0.0038650575360708616,105.16037562071847
0.004387345487499567,106.64925640881022
0.004980210578249438,108.56771186989303
0.0056531899469451224,111.0396837768092
0.006417109492481523,114.22487389623303
0.00728425802510829,118.32906159084419
0.008268584950673149,123.61739831034576
0.009385924668076539,130.4315379137924
0.010654251289712624,139.21170957739815
0.012093967782463078,150.52515941429547
0.013728234180517442,165.102798449662
0.015583340149823387,183.88642488263758
0.017689127897433946,208.08957190854932
0.020079472228893273,239.27591296525878
0.022792825476115407,279.4602911156893
0.025872836061751867,331.238901767545
0.02936905065059864,397.95704285362336
0.0333377111832179,483.9252760831621
0.037842659613275494,594.6979744904144
0.04295636490267305,737.4322686858652
0.04876108879525666,921.3506095243132
0.055350209122349475,1158.336877504623
0.062829721927494,1463.7046277823836
0.07131994657437081,1857.1872314659242
0.08095746126715335,2364.2140943299146
0.09189730011909304,3017.5557568895606
0.1043154471125328,3859.444745444421
0.11841166706949628,4944.3101684935245
0.13441271917333003,6342.304350511672
0.15257600473579158,8143.8520397706725
0.1731937078894794,10465.520578921096
0.1965974958149483,13457.597745169362
0.22316385411283426,17313.879250440175
0.25332014314857654,22284.31891656044
0.2875514727952746,28691.39328881399
0.3264085061653977,36951.2955055913
0.37051631786626443,47601.423910082616
0.4205844492778353,61336.10252698464
0.4774183226072852,79053.11184264394
0.5419321973328273,101914.49207352428
0.6151638774609209,131426.31866504814
0.6982914061855316,169543.91628192848
0.7926520165084681,218811.55658405353
0.8997636426704155,282549.55037942016
1.02134933843682,365107.6156825865
1.1593649950439668,472212.95244093955
1.3160308046906781,611457.3464993129
1.4938669757138159,792995.3142625091
1.695734273980669,1030576.1969041943
1.9248800426682813,1343132.8195382683
2.184990440728028,1757360.3847986972
2.48024974037076,2312211.6399730253
2.8154076374629478,2592267.5416141218
3.1958556576241395,2794734.145537016
3.6277138871342625,2961183.067167828
4.117929423849647,3094793.419652699
4.674388131860712,3200442.2329997136
5.306041497635452,3283232.450530645
6.023050628323051,3347775.7886007903
6.836949708649846,3397951.2757068607
7.760831545860961,3436899.689394931
8.80955818748077,3467111.778125697
10.0,3490540.487557497
