case,N,gamma_s,gamma_t,gap,participation,residue_abs,rigidity,residue_over_participation,asymptotic_participation
benchmark,82,0.25,0.0,6.952980187824309e-06,2.781192075251849e-05,2.781642335826867e-05,0.9998381313912219,1.0001618948144664,2.7617569202767768e-05
benchmark,86,0.25,0.0,6.035478818575253e-06,2.4141915276203744e-05,2.414547516824743e-05,0.9998525648379712,1.000147456902361,2.3980706301631084e-05
benchmark,91,0.25,0.0,5.102140091203255e-06,2.0408560366376414e-05,2.041125372663451e-05,0.999868045329593,1.0001319720847401,2.0279453441870135e-05
benchmark,95,0.25,0.0,4.489422196885869e-06,1.795768878919133e-05,1.795986660975594e-05,0.9998787396024744,1.000121275103393,1.7848676940627457e-05
benchmark,100,0.25,0.0,3.854006924708386e-06,1.541602769986552e-05,1.5417717889474593e-05,0.9998903735545562,1.0001096384647186,1.532694527302504e-05
benchmark_gt0.01,2,0.25,0.01,0.12999999999999995,0.5000000000000001,0.5150535271439557,0.970772887960928,1.0301070542879112,0.5941822232510572
benchmark_gt0.01,3,0.25,0.01,0.06822236586721946,0.24259319111341435,0.2505405033238422,0.9682793316649669,1.0327598321039126,0.25067062543403973
benchmark_gt0.01,4,0.25,0.01,0.041206959431907345,0.13002899763294715,0.13353866146633456,0.9737179945129806,1.0269913934374444,0.12834336022222834
benchmark_gt0.01,5,0.25,0.01,0.028364710716659358,0.07651962798608127,0.07814485638559641,0.9792023624498634,1.0212393661899504,0.07427277790638215
benchmark_gt0.01,6,0.25,0.01,0.021636090914553385,0.048483712143972665,0.04929733913725696,0.9834955190782424,1.0167814500438461,0.04677236159702199
benchmark_gt0.01,7,0.25,0.01,0.017809122049128878,0.03253800853803783,0.032976248608591774,0.9867104328404486,1.013468558471906,0.031333828179254966
benchmark_gt0.01,8,0.25,0.01,0.015483852637949158,0.02284938599145526,0.023100692094681432,0.9891212738477203,1.010998374456108,0.022006749009298412
benchmark_gt0.01,9,0.25,0.01,0.013993772837158854,0.01664072015483003,0.016792617165426276,0.990954536204816,1.0091280310697466,0.016042920027778542
benchmark_gt0.01,10,0.25,0.01,0.01299651589161084,0.01248548288171315,0.012581448939622252,0.9923724160571934,1.0076862111636595,0.01205328326655037
benchmark_gt0.01,11,0.25,0.01,0.01230465617776122,0.009602734074005536,0.009665680589944905,0.9934876271408295,1.0065550618661578,0.009284097238297769
benchmark_gt0.01,12,0.25,0.01,0.011809963374929122,0.007541514062204722,0.007584147405301225,0.9943786241461104,1.0056531543593037,0.007302193913417634
benchmark_gt0.01,13,0.25,0.01,0.011447055951787273,0.006029399799113586,0.006059085115469153,0.9951006932911735,1.0049234280931132,0.005846545199627749
benchmark_gt0.01,14,0.25,0.01,0.011174888008607331,0.004895366702531446,0.004916540193236278,0.9956934165342611,1.0043252103450968,0.004753457786008457
benchmark_gt0.01,15,0.25,0.01,0.010966823007008686,0.004028429195869721,0.004043854051069198,0.9961856053644178,1.0038289999524608,0.003916728522406871
benchmark_gt0.01,16,0.25,0.01,0.010805070006146278,0.0033544583589408023,0.0033659072504545052,0.9965985718970249,1.0034130373039771,0.0032654020003620074
benchmark_gt0.01,17,0.25,0.01,0.010677442185167378,0.0028226757715333717,0.0028313160358570616,0.9969483221885985,1.0030610190553328,0.0027508436261623015
benchmark_gt0.01,18,0.25,0.01,0.010575403170859896,0.002397513211918419,0.0024041316702678246,0.9972470483080207,1.0027605513565074,0.002338959035978793
benchmark_gt0.01,19,0.25,0.01,0.010492853702235627,0.0020535570926487044,0.00205869526839661,0.9975041591503209,1.0025020856572722,0.0020053650034723178
benchmark_gt0.01,20,0.25,0.01,0.010425357718266757,0.0017723238261143233,0.0017763614893533607,0.9977270036176548,1.0022781746651173,0.0017323096887785921
benchmark_gt0.01,21,0.25,0.01,0.01036963680431191,0.0015401533513003558,0.0015433614046060232,0.9979213855574635,1.0020829440801844,0.0015066604083187963
benchmark_gt0.01,22,0.25,0.01,0.010323232772973997,0.001346803220726352,0.0013493779206709307,0.9980919356207504,1.0019117120489138,0.0013185600417340794
benchmark_gt0.01,23,0.25,0.01,0.010284278044796653,0.0011844918533199696,0.0011865774014841325,0.9982423833779794,1.0017607112774287,0.001160512154787221
benchmark_gt0.01,24,0.25,0.01,0.010251336605785366,0.0010472358574408831,0.0010489395881965278,0.9983757589332923,1.0016268835177282,0.0010267468817778268
benchmark_gt0.01,25,0.25,0.01,0.010223292060063166,0.0009303835835978925,0.0009317863469010155,0.9984945440467246,1.001507725768009,0.0009127742391772043
benchmark_gt0.01,26,0.25,0.01,0.010199267660416456,0.0008302819184040768,0.0008314452877551722,0.9986007866443787,1.0014011738968513,0.0008150647781221634
benchmark_gt0.01,28,0.25,0.01,0.010160638561880875,0.0006693273411709869,0.0006701434600939291,0.9987821728159101,1.0012193120955053,0.0006577932685956187
benchmark_gt0.01,29,0.25,0.01,0.010145030206959338,0.0006042925289997095,0.0006049822466763534,0.9988599373280242,1.0011413638983517,0.0005941822232510571
benchmark_gt0.01,30,0.25,0.01,0.010131379576103914,0.0005474149004330002,0.000548000989949058,0.9989304955158704,1.0010706495486226,0.0005385156600241195
