mode,re_lam,im_lam,participation,abs_residue,rigidity
1,-0.021636090914553385,-0.8969463027010601,0.048483712143972665,0.049297339137256965,0.9834955190782424
2,-0.021636090914553874,0.8969463027010603,0.048483712143972756,0.04929733913725703,0.9834955190782426
3,-0.05064129559216897,0.6134037988144622,0.1693387316340372,0.17902667093341235,0.9458854971225015
4,-0.05064129559216905,-0.6134037988144629,0.16933873163403748,0.17902667093341273,0.945885497122501
5,-0.07772261349327764,0.21632516166277874,0.2821775562219898,0.30964903854801024,0.9112818742960151
6,-0.07772261349327769,-0.21632516166277885,0.2821775562219903,0.3096490385480108,0.9112818742960149
