pL,theta_deg,fEP_MHz,sep_Mrad_s,sep_norm,overlap,phase_rigidity,gap_Mrad_s,current_pA
0.2,15,7.789228587309057,3.527261425495369e-05,1.1546402227163668e-07,0.9999999999999336,3.621656548743137e-07,152.74286091426103,13.815797858590203
0.2,25,7.785552740597116,7.145827034956255e-05,2.3388379937062487e-07,0.9999999999997272,7.345983361818808e-07,152.7644368774234,13.864831489507347
0.2,40,7.777828651793824,1.3753822566244546e-05,4.500303864366398e-08,0.99999999999999,1.4175410586182217e-07,152.80992586179704,13.967971959500726
0.4,15,7.880579249712579,0.0007350536389792783,2.4146903108702587e-06,0.9999999999717826,7.324260028076466e-06,152.20453610260623,12.574280433113117
0.4,25,7.86599390060178,3.2984131814688946e-05,1.0829371590691933e-07,0.9999999999999429,3.302158113168481e-07,152.29013075621393,12.771318349454862
0.4,40,7.835360372279497,3.863737375119388e-05,1.267045847547458e-07,0.9999999999999212,3.9069398912306137e-07,152.47028875292378,13.184531996583639
0.6,15,8.032070271979393,1.645395371650124e-05,5.43705387964136e-08,0.9999999999999867,1.5620031575727362e-07,151.3131382312203,10.478684139803857
0.6,25,7.999398644700772,0.0006595514042909488,2.1766704911659287e-06,0.9999999999779264,6.325765757582108e-06,151.50432078309854,10.929466074132648
0.6,40,7.930760646959482,3.1851210642521496e-05,1.0483728954896547e-07,0.9999999999999478,3.122258216224894e-07,151.90783019880368,11.871086273662431
