steps_per_period,fEP_MHz,sep_Mrad_s,sep_norm,overlap,phase_rigidity,eigvec_cond,mu_real_Mrad_s
8,7.979974803404973,0.00022671521701750775,7.443528731787214e-07,0.9999999999973062,2.269726626403765e-06,972234.7416153997,-152.2901472555251
12,7.8659939006028035,2.4850000995545637e-05,8.158768474542475e-08,0.9999999999999678,2.4878214901699306e-07,8870040.648358902,-152.29014725216192
16,7.826639734636459,0.00015462242544852993,5.076573520905942e-07,0.999999999998747,1.5479796356039256e-06,1425540.719673558,-152.2901471142872
20,7.80851772681954,4.7524760575844446e-05,1.56033602790971e-07,0.9999999999998817,4.7578713855060037e-07,4638015.541947397,-152.29016979609077
24,7.798698298645979,0.0001712013090009141,5.620892503955005e-07,0.999999999998464,1.713956656327144e-06,1287493.5651265571,-152.29014841275776
32,7.788951799047382,3.530025759117052e-05,1.1589803515508898e-07,0.9999999999999348,3.534033069256528e-07,6244164.113266521,-152.29016391965354
48,7.782000452908932,5.2401583040673496e-05,1.7204521802592297e-07,0.9999999999998563,5.246106930521394e-07,4206373.085667621,-152.2901730639083
64,7.779569533803656,5.387473786879338e-05,1.768818895345908e-07,0.9999999999998481,5.393589698258842e-07,4091353.696180579,-152.29017352249707
