N,gamma_b_over_J,slow_rigidity,min_rigidity,slow_residue_over_participation,max_residue_over_participation
6,0.01,0.9999659614452994,0.9998446188689459,1.0000340397133631,1.0001554052781019
6,0.011329469723303542,0.9999563128895345,0.9998005583880651,1.0000436890191124,1.0001994813968262
6,0.012835688421125162,0.9999439307108419,0.9997440042241971,1.0000560724330994,1.0002560613264209
6,0.014542154334489537,0.9999280412968375,0.9996714138798766,1.0000719638815905,1.0003286941244502
6,0.01647548972442066,0.9999076526708647,0.9995782405243212,1.000092355857952,1.0004219374317886
6,0.018665856200942244,0.9998814932226625,0.9994586483311181,1.0001185208228585,1.0005416448892464
6,0.021147425268811283,0.9998479334862551,0.999305147182476,1.0001520896414866,1.0006953359736845
6,0.02395891143088217,0.9998048864295579,0.9991081239321558,1.0001951516471765,1.0008926722208342
6,0.027144176165949066,0.999749680608976,0.9988552409890304,1.0002503820665103,1.0011460709860582
6,0.030752912203613758,0.999678899227891,0.9985306647542956,1.000321203910933,1.0014714973686523
6,0.0348414187714254,0.9995881766339649,0.9981140759239799,1.000411993034393,1.001889487505999
6,0.03947347990878038,0.999471942158511,0.9975794002320206,1.000528336833897,1.0024264732886592
6,0.044721359549995794,0.9993230995927952,0.9968931810775146,1.000677358911728,1.0031165013277825
6,0.05066692890066491,0.9991326293192456,0.9960124936834083,1.0008681236657695,1.0040034701792198
6,0.057402943695285626,0.9988890997465024,0.9948822727838541,1.0011121357253567,1.0051440530765776
6,0.06503449126242364,0.9985780762573724,0.9934318909035823,1.0014239484887921,1.0066115343754907
6,0.07368062997280773,0.9981814211092963,0.9915707804071805,1.0018218921453002,1.0085008753377729
6,0.08347624664708567,0.9976764895002959,0.9891828378158218,1.0023289217738989,1.010935452750134
6,0.09457416090031759,0.9970352499189797,0.9861192815778391,1.0029735659609436,1.014076104870347
6,0.10714750925269857,0.9962233980040194,0.9821895531333056,1.0037909187874403,1.0181334110201816
6,0.12139244620058345,0.9951996028277942,0.9771497556417665,1.00482355213825,1.0233845879061043
6,0.13753120438672645,0.993915136980993,0.9706880180893164,1.0061221152517,1.0301971193261255
6,0.15581556161088883,0.9923143141473094,0.9624060637485761,1.007745213127652,1.0390624474091483
6,0.17653076876901028,0.9903364051395546,0.9517961714141591,1.009757891167379,1.0506451171307196
6,0.2,0.9879200248943565,0.9382126829053656,1.012227685238929,1.0658564078491217
