aD,fEP_MHz,sep_Mrad_s,sep_norm,overlap,phase_rigidity,eigvec_cond,gap_Mrad_s,current_pA,mu1_real_Mrad_s,mu2_real_Mrad_s
0.0,7.765190146984963,0.0002725636041247006,1.047935583880448e-06,0.9999999999960644,2.7521645234543877e-06,802004.5254357787,130.0478793334805,10.076468188513266,-130.04788257896726,-130.0478793334805
0.2,7.7783902516214845,0.0004917368804223842,1.7885327768645496e-06,0.9999999999872317,4.951179707964754e-06,445787.10033305467,137.46935056485694,10.986724738620566,-137.46935158386984,-137.46935056485694
0.4,7.792832735899727,6.677164930910163e-05,2.3043230733171352e-07,0.9999999999997656,6.703970605384061e-07,3292053.546475379,144.8834035081595,11.884828880132675,-144.8834702530881,-144.8834035081595
0.6000000000000001,7.80851772686098,0.00032028459694377116,1.05156047024799e-06,0.9999999999946235,3.206481939411502e-06,688202.2578083109,152.29014513045553,12.77128076990962,-152.29014863815783,-152.29014513045553
0.8,7.825445410229801,3.849077051677998e-05,1.2051754449326933e-07,0.9999999999999228,3.8422475800477916e-07,5742389.750660329,159.6894719649512,13.646497394321909,-159.68950873548607,-159.6894719649512
1.0,7.843616028763363,0.00011011090246216919,3.2951259542358575e-07,0.9999999999993701,1.0959063464181892e-06,2012927.1899193148,167.08147409936223,14.510834983061088,-167.0814804930611,-167.08147409936223
