J_over_gamma_t,xi_read,N_floor,N_res
10.0,5.008309842822307,2.405021921476754,11.167336027920836
10.596372886056477,5.306031014895072,2.4714079719761504,11.524895716440533
11.228311834035287,5.621561020827347,2.5390883189008084,11.892962958179846
11.897937907435857,5.9559590007112675,2.6080881965164204,12.271846537037536
12.607498664233685,6.310347410675302,2.678433331068838,12.661864311098741
13.359375700667908,6.685915792392174,2.750149950375973,13.063343479296709
14.156092644919916,7.083924767437804,2.823264793606701,13.476620855910936
15.000323627513291,7.505710269956139,2.8978051212504243,13.902043153131881
15.894902256865416,7.9526880318776225,2.973798725281,14.339967271929433
16.84283113011666,8.426358335780618,3.0512739395188353,14.790760601469023
17.847291911159612,8.928311051378236,3.130259650195007,15.254801327326675
18.91165600969468,9.460230972560488,3.2107853067213377,15.732478748761523
20.03949589715557,10.023903472926632,3.2928809326704593,16.224193605311925
21.23459709748593,10.621220498808398,3.3765771369699484,16.73035841298928
22.50097089301335,11.25418691991459,3.461905125314699,17.251397810351463
23.842867788067263,11.924927258925727,3.5488967118018104,17.787748914746295
25.26479177553053,12.635692822637138,3.637584330792304,18.339861689023877
26.77151545420944,13.388869258595056,3.72800104900411,18.90819931902546
28.368096047762684,14.186984562596965,3.8201805778408167,19.493238602165505
30.059892378955837,15.032717563939475,3.914157285960794,20.09547034743294
31.852582856214337,15.928906916899553,4.009966212091372,20.715399787147245
33.752184532845696,16.878560628633124,4.107643078092846,21.353547000814682
35.76507330290209,17.884866155474864,4.207224302277184,22.010447351440362
37.89800530146941,18.951201101530103,4.30874701298641,22.686651934662176
40.15813958121152,20.081144555470793,4.412249062435709,23.38272804108328
42.55306214128212,21.278489103589227,4.5177690408264315,24.099259632191153
45.09081138925582,22.547253559432527,4.62534629073425,24.836847830262386
47.77990512153969,23.8916964527458,4.735020921777833,25.59611142266422
50.62936911282342,25.316330323000198,4.846833825573505,26.377687380975942
53.64876741052673,26.82593686548237,4.960826690981479,27.18223139536561
56.848234435925576,28.425582980783304,5.077042019649325,28.0104184246704
60.23850899970239,30.120637781556383,5.195523141858495,28.862943262642172
63.83097034609155,31.916790613627537,5.3163142326797885,29.740521120833073
67.63767634659995,33.8200701519449,5.439460328443801,30.643888228610447
71.67140397149751,35.836864635462646,5.565007343532479,31.5738024508042
75.94569217491767,37.973943308876756,5.693002087498074,32.53104392350494
80.47488733750892,40.238479143180776,5.823492282515821,33.51641570854616
85.27419141916292,42.638072911301975,5.956526581176922,34.530744467219655
90.35971298344077,45.1807786996267,6.092154584628398,35.57488115378924
95.74852126495772,47.8751309410427,6.2304268610666265,36.649701729384745
101.45870346119995,50.7301730602336,6.3713949645914285,37.75610789687502
107.50942544107035,53.75548782737157,6.515111454427747,38.895027857336615
113.92099607392682,56.96122952208869,6.661629914522083,40.06741708875258
120.71493539503045,60.35815801568357,6.811004973520985,41.27425914759495
