Omega_over_EP,f_MHz,pair_sep_Mrad_s,overlap,counting_FI_per_rad2s,state_QFI_per_rad2s,singly_occ,current_pA
0.6,4.685240287346016,78.44364525001663,0.5956838729071559,6.890503429905947e-15,5.821528720781779e-20,0.9209226296619242,12.66760942834522
0.6875,5.36850449591731,71.37645420647979,0.6825456965572665,8.86274319072872e-15,7.400625050839964e-20,0.9208035380360562,12.68649090117048
0.7749999999999999,6.0517687044886035,62.38491752787989,0.7694027034523766,1.1004642562665679e-14,9.102630651704397e-20,0.9206718805748757,12.707393374935721
0.8624999999999999,6.735032913059897,50.450413929484306,0.85625424684502,1.3284743711148458e-14,1.089939956656049e-19,0.9205287900594917,12.730135964767765
0.95,7.418297121631191,32.47609556200266,0.9430996833484654,1.5670224122576488e-14,1.2762838062348432e-19,0.9203754439445364,12.754530516049575
1.0375,8.101561330202486,24.078309438476563,0.9709318781340721,1.8129319079065374e-14,1.4665606841670368e-19,0.9202130429794549,12.780385030141467
1.125,8.784825538773779,48.56069973149109,0.8954397781567663,2.0630528493508223e-14,1.6581727143759376e-19,0.9200427912144719,12.807506870748512
1.2125,9.468089747345074,65.42502197819519,0.8308456482145959,2.3143210600344015e-14,1.8487076330211807e-19,0.9198658778647424,12.835705674706636
1.2999999999999998,10.151353955916367,79.66581087661743,0.7749488944447717,2.563894122490235e-14,2.0359766416722417e-19,0.9196834613715432,12.864795912497181
1.3875,10.834618164487662,92.50278902934265,0.7261040336969403,2.8092109360532635e-14,2.218040604717613e-19,0.9194966558657222,12.894599065191219
1.475,11.517882373058956,104.4548125556717,0.6830560401058786,3.047811665250871e-14,2.393225228910011e-19,0.9193065201164671,12.924945404109415
1.5625,12.20114658163025,115.79623408403015,0.6448310158478088,3.2777936851051385e-14,2.5601262978603685e-19,0.9191140489412402,12.955675376684813
1.65,12.884410790201542,126.6911466880188,0.6106616488465392,3.4971656354025956e-14,2.717606333345066e-19,0.9189201669655653,12.986640616022347
1.7374999999999998,13.567674998772837,137.2459294720993,0.579935194278839,3.704745947774214e-14,2.8647842131145936e-19,0.9187257245547206,13.01770460237333
1.8249999999999997,14.25093920734413,147.533603697464,0.5521564204484546,3.899089820107683e-14,3.001019312050378e-19,0.9185314956930275,13.048743012225403
1.9125,14.934203415915427,157.60648701667785,0.5269207264724611,4.0795457161965776e-14,3.1258916777362923e-19,0.9183381775589111,13.079643795168128
2.0,15.61746762448672,167.5033363774643,0.5038943166366255,4.245332022212205e-14,3.2391796279458864e-19,0.9181463915327446,13.110307020537503
2.1,16.398341005711057,178.63598546102907,0.4799293869135088,4.4162690173249285e-14,3.3544131327871575e-19,0.9179297829623649,13.144947259270381
2.3302615813430663,18.196392401605284,203.71205380570984,0.4325729177670261,4.7350416704836045e-14,3.563287092323228e-19,0.9174449837885306,13.222506703169865
2.585770970230232,20.191597205954128,230.87726303378295,0.389902670320043,4.9711118419033665e-14,3.7094062310064355e-19,0.9169357336754003,13.304019430168486
2.869296547656997,22.405572969042332,260.46312249492644,0.35145595180371486,5.1040576938917465e-14,3.780986615076797e-19,0.9164117982549882,13.38792471099127
3.183910243088283,24.86230757035145,292.8149385015564,0.3168157180182182,5.122348274188305e-14,3.771957194413264e-19,0.9158841588617167,13.472465076041845
3.533020818053946,27.588419121297544,328.3000865138702,0.2856060204843333,5.0238617198036436e-14,3.6830149939841237e-19,0.9153641179705654,13.555829399214383
3.920410799236362,30.613444365880994,367.3147309968109,0.25748789198872396,4.818150818903067e-14,3.521504267882488e-19,0.9148623477470733,13.63630537429442
4.350277461210932,33.970158703998,410.2898411976623,0.23215562626322786,4.523302348031745e-14,3.300154876111354e-19,0.9143880476186761,13.712414793395125
4.827278302877374,37.69493130478729,457.696980791687,0.20933341326720795,4.163332272921495e-14,3.0350389965220373e-19,0.9139483453996609,13.783010003997013
5.3565815103076675,41.828119157577085,510.05416575409697,0.18877229776254442,3.764018771558062e-14,2.7432794239678665e-19,0.9135480103582045,13.847320482416297
5.94392195276313,46.41450432987703,567.9319894485016,0.1702474358272728,3.34910802822433e-14,2.4410169670798697e-19,0.9131894717893944,13.90495044654045
6.595663318583607,51.50377916999706,631.9601630173034,0.15355563172415315,2.9388851459946234e-14,2.1419678018498666e-19,0.9128730782691885,13.95583781028275
7.318867064175756,57.15108471134352,702.8345919640503,0.13851314572226064,2.54856687480726e-14,1.856675694927068e-19,0.9125975042005359,14.000189397096323
8.121368923145658,63.417608111869946,781.3250959770431,0.1249537708608526,2.1877296719064286e-14,1.5923796487665067e-19,0.9123602108929658,14.038407266449413
9.011863804533252,70.37124560179089,868.2838732551651,0.11272718093646805,1.862446833911778e-14,1.353318012173771e-19,0.912157889407551,14.071017831281118
10.0,78.0873381224336,964.654810226036,0.10169754981359455,1.5746784085229505e-14,1.1412716704921779e-19,0.9119868397217299,14.09861108050296
