delta_over_J,abs_chi,re_chi,im_chi,abs_mode1,abs_mode2,abs_mode3,abs_mode4,abs_mode5,abs_mode6
-1.4,0.8221156142324341,0.17041540670624503,0.8042590828345786,0.09790566498049626,0.021461168779496727,0.08888930741264874,0.22712645085997987,0.1913548526245625,0.2610376186358216
-1.398,0.8237232725613179,0.17108974621385176,0.8057594731057197,0.09829573818222903,0.021479870099216578,0.08897763679278743,0.22770301588711384,0.1915913757194713,0.26147752670477065
-1.396,0.8253384855572982,0.17176865243638062,0.8072664651663689,0.09868892912352883,0.02149860403867014,0.0890661418376955,0.2282825094636489,0.19182848356390292,0.2619189167445601
-1.394,0.8269613159771078,0.17245217212397781,0.8087801100746183,0.09908527529747499,0.02151737068327346,0.0891548230717565,0.22886495391152026,0.19206617832649356,0.26236179624012135
-1.392,0.8285918273662873,0.17314035269361444,0.8103004594885369,0.09948481480016115,0.021536170118741024,0.08924368102144269,0.22945037177960828,0.19230446218660394,0.26280617272676393
-1.39,0.8302300840727159,0.1738332422415348,0.8118275656758551,0.09988758634285554,0.021555002431087107,0.08933271621532521,0.23003878584662324,0.19254333733438522,0.2632520537905987
-1.388,0.8318761512604387,0.17453088955599397,0.813361481523851,0.10029362926445617,0.02157386770662705,0.08942192918408462,0.230630219124035,0.192782805970846,0.263699447068966
-1.386,0.833530094923799,0.17523334413029337,0.8149022605494427,0.10070298354425002,0.021592766031978624,0.08951132046052143,0.23122469485904676,0.19302287030791937,0.2641483602508681
-1.384,0.8351919819018785,0.17594065617612187,0.8164499569094871,0.10111568981498366,0.0216116974940633,0.08960089057956681,0.23182223653761477,0.193263532568531,0.2645988010774051
-1.382,0.8368618798932576,0.17665287663721171,0.8180046254112963,0.10153178937625608,0.021630662180107632,0.08969064007829299,0.23242286788751443,0.19350479498666712,0.26505077734221666
-1.38,0.8385398574711057,0.1773700572033177,0.8195663215233737,0.10195132420824074,0.02164966017764455,0.08978056949592425,0.2330266128814535,0.19374665980744352,0.26550429689192695
-1.378,0.8402259840986065,0.17809225032452963,0.8211351013863777,0.10237433698574855,0.021668691574514756,0.08987067937384743,0.23363349574023384,0.19398912928717485,0.26595936762659467
-1.376,0.8419203301447292,0.17881950922592627,0.8227110218243152,0.10280087109263979,0.021687756458868016,0.08996097025562315,0.2342435409359614,0.19423220569344435,0.26641599750016787
-1.3739999999999999,0.8436229669003545,0.1795518879225814,0.8242941403559736,0.10323097063659667,0.021706854919164593,0.09005144268699629,0.23485677319530704,0.19447589130517415,0.2668741945209432
-1.3719999999999999,0.8453339665947669,0.18028944123493248,0.8258845152065986,0.10366468046426576,0.02172598704417657,0.09014209721590735,0.23547321750281702,0.19472018841269648,0.2673339667520294
-1.3699999999999999,0.8470534024125206,0.18103222480452127,0.8274822053198201,0.10410204617678222,0.021745152922989213,0.09023293439250324,0.23609289910427622,0.19496509931782469,0.26779532231181635
-1.3679999999999999,0.8487813485106906,0.18178029511011812,0.8290872703698356,0.1045431141456864,0.02176435264500239,0.09032395476914856,0.2367158435101234,0.19521062633392536,0.26825826937444847
-1.3659999999999999,0.850517880036522,0.18253370948424152,0.8306997707738593,0.10498793152924461,0.021783586299931948,0.09041515890043661,0.23734207649892003,0.19545677178599077,0.26872281617030275
-1.3639999999999999,0.8522630731454814,0.18329252613008243,0.8323197677048367,0.10543654628918618,0.021802853977811093,0.09050654734320086,0.23797162412087403,0.19570353801071205,0.26918897098647243
-1.3619999999999999,0.8540170050197309,0.18405680413884834,0.833947323104442,0.10588900720786913,0.021822155768991824,0.09059812065652613,0.23860451270141886,0.19595092735655245,0.26965674216725505
-1.3599999999999999,0.8557797538870302,0.1848266035075371,0.8355824996963577,0.1063453639058873,0.02184149176414631,0.0906898794017599,0.23924076884484924,0.19619894218382203,0.27012613811464536
-1.3579999999999999,0.8575513990400803,0.18560198515715395,0.8372253609998461,0.10680566686013236,0.02186086205426835,0.09078182414252395,0.23988041943801458,0.1964475848647515,0.2705971672888345
-1.3559999999999999,0.8593320208563222,0.18638301095138596,0.8388759713436226,0.10726996742232413,0.021880266730674763,0.0908739554447258,0.24052349165407108,0.19669685778356846,0.2710698382087124
-1.3539999999999999,0.861121700818205,0.18716974371574646,0.8405343958800376,0.10773831783802384,0.02189970588500685,0.09096627387657026,0.24117001295629362,0.19694676333657263,0.27154415945237775
-1.3519999999999999,0.8629205215339277,0.18796224725720345,0.8422007005995706,0.10821077126614465,0.021919179609231818,0.09105878000857119,0.24182001110194853,0.19719730393221227,0.272020139657651
-1.3499999999999999,0.8647285667586864,0.18876058638430865,0.8438749523456563,0.10868738179897522,0.021938687995644236,0.09115147441356304,0.2424735141462288,0.1974484819911614,0.2724977875225944
-1.3479999999999999,0.8665459214164196,0.18956482692783963,0.8455572188298377,0.1091682044827311,0.021958231136867498,0.09124435766671299,0.24313055044625137,0.19770029994639732,0.2729771118060367
-1.3459999999999999,0.8683726716220846,0.19037503576197326,0.8472475686472664,0.1096532953386518,0.021977809125855292,0.09133743034553253,0.2437911486651206,0.19795276024327868,0.273458121328103
-1.3439999999999999,0.8702089047044684,0.1911912808260052,0.8489460712925541,0.11014271138465855,0.021997422055893046,0.09143069302988958,0.2444553377760558,0.19820586533962437,0.27394082497075123
-1.3419999999999999,0.8720547092295544,0.19201363114663292,0.850652797175985,0.1106365106575921,0.022017070020599445,0.0915241463020204,0.24512314706658583,0.1984596177057925,0.2744252316783132
-1.3399999999999999,0.8739101750244601,0.19284215686081996,0.8523678176401015,0.11113475223604735,0.0220367531139279,0.09161779074654183,0.24579460614281307,0.1987140198247611,0.2749113504580417
-1.3379999999999999,0.8757753932019617,0.1936769292392593,0.8540912049766709,0.11163749626382427,0.02205647143016805,0.09171162695046331,0.24646974493374488,0.19896907419220805,0.2753991903806638
-1.3359999999999999,0.8776504561856238,0.19451802071045432,0.8558230324440449,0.11214480397401412,0.02207622506394728,0.09180565550319923,0.2471485936956974,0.1992247833165926,0.275888760580939
-1.3339999999999999,0.8795354577355529,0.19536550488543789,0.857563374284925,0.11265673771374189,0.0220960141102322,0.09189987699658125,0.2478311830167703,0.19948114971923686,0.2763800702582243
-1.3319999999999999,0.8814304929747908,0.1962194565831485,0.8593123057445394,0.11317336096958486,0.022115838664330194,0.09199429202487071,0.24851754382139576,0.19973817593440882,0.27687312867704456
-1.3299999999999998,0.8833356584163715,0.19707995185648555,0.8610699030892497,0.11369473839368954,0.022135698821890953,0.09208890118477095,0.24920770737496165,0.19999586450940485,0.27736794516766927
-1.3279999999999998,0.8852510519910554,0.19794706801906456,0.8628362436255944,0.11422093583060958,0.022155594678908,0.09218370507544017,0.24990170528851155,0.20025421800463394,0.2778645291266953
-1.3259999999999998,0.887176773075769,0.1988208836726955,0.8646114057197851,0.11475202034488736,0.02217552633172024,0.09227870429850368,0.25059956952352175,0.20051323899370146,0.2783628900176352
-1.3239999999999998,0.8891129225227651,0.19970147873560773,0.8663954688176665,0.11528806024940391,0.022195493877013507,0.09237389945806704,0.25130133239675884,0.20077293006349486,0.27886303737151397
-1.3219999999999998,0.8910596026895286,0.20058893447144482,0.8681885134651524,0.11582912513452195,0.022215497411822157,0.09246929116072837,0.252007026585216,0.20103329381426885,0.2793649807874687
-1.3199999999999998,0.893016917469451,0.20148333351905576,0.8699906213291551,0.116375285898048,0.022235537033530595,0.0925648800155917,0.2527166851311342,0.2012943328597319,0.27986872993335776
-1.3179999999999998,0.8949849723232959,0.20238475992310762,0.8718018752190183,0.11692661477604095,0.022255612839874893,0.09266066663427948,0.2534303414471052,0.20155604982713332,0.28037429454637525
-1.3159999999999998,0.8969638743114822,0.20329329916554773,0.8736223591084717,0.11748318537449409,0.022275724928944345,0.09275665163094596,0.2541480293212608,0.20181844735735097,0.2808816844336715
-1.3139999999999998,0.898953732127209,0.20420903819794267,0.8754521581581195,0.11804507270192095,0.022295873399183114,0.09285283562229006,0.25486978292255,0.20208152810497934,0.28139090947298134
-1.3119999999999998,0.9009546561304482,0.20513206547472368,0.8772913587384796,0.1186123532028738,0.022316058349391765,0.0929492192275687,0.2555956368061046,0.20234529473841903,0.28190197961325836
-1.3099999999999998,0.9029667583828351,0.20606247098736963,0.8791400484535924,0.11918510479242701,0.022336279878728965,0.09304580306860992,0.25632562591869523,0.20260974993996614,0.28241490487531623
-1.3079999999999998,0.9049901526834808,0.20700034629955757,0.8809983161652089,0.1197634068916574,0.022356538086713017,0.09314258776982648,0.2570597856042802,0.20287489640590292,0.28292969535247725
-1.3059999999999998,0.9070249546057425,0.20794578458331542,0.8828662520175854,0.12034734046415517,0.022376833073223593,0.09323957395822897,0.25779815160964925,0.20314073684658893,0.283446361211227
-1.3039999999999998,0.9090712815349723,0.20889888065620923,0.8847439474628916,0.12093698805360086,0.02239716493850326,0.09333676226343975,0.25854076009016236,0.2034072739865527,0.2839649126918778
-1.3019999999999998,0.9111292527072915,0.20985973101960245,0.8866314952872628,0.12153243382244447,0.02241753378315923,0.09343415331770603,0.2592876476155875,0.2036745105645846,0.284485360109237
-1.2999999999999998,0.9131989892494038,0.21082843389802194,0.888528989637502,0.12213376359172445,0.02243793970816496,0.09353174775591411,0.26003885117603837,0.20394244933383004,0.28500771385328477
-1.2979999999999998,0.9152806142195022,0.21180508927967087,0.8904365260484656,0.1227410648820668,0.02245838281486187,0.09362954621560268,0.26079440818801397,0.20421109306188331,0.28553198438985766
-1.2959999999999998,0.9173742526492856,0.212789798958127,0.8923542014711396,0.12335442695590354,0.022478863204960946,0.09372754933697702,0.2615543565005427,0.2044804445308827,0.2860581822613412
-1.2939999999999998,0.9194800315871382,0.21378266657526898,0.894282114301439,0.12397394086095465,0.022499380980544503,0.09382575776292283,0.26231873440143216,0.20475050653760604,0.2865863180873681
-1.2919999999999998,0.9215980801425008,0.21478379766547367,0.8962203644097473,0.12459969947501716,0.02251993624406783,0.09392417213902023,0.2630875806236277,0.20502128189356655,0.2871164025655258
-1.2899999999999998,0.9237285295314752,0.21579329970112832,0.8981690531712171,0.12523179755210687,0.022540529098360917,0.09402279311355788,0.2638609343516813,0.2052927734251103,0.2876484464720708
-1.2879999999999998,0.9258715131237043,0.2168112821395061,0.9001282834968587,0.12587033177000115,0.022561159646630174,0.09412162133754731,0.26463883522833376,0.2055649839735139,0.28818246066265163
-1.2859999999999998,0.928027166490571,0.2178378564710525,0.9020981598654413,0.12651540077923273,0.02258182799246014,0.0942206574647371,0.2654213233612113,0.205837916395083,0.2887184560730387
-1.2839999999999998,0.9301956274547587,0.2188731362691336,0.9040787883562281,0.12716710525358568,0.022602534239815217,0.09431990215162736,0.26620843932963983,0.20611157356125187,0.28925644371986353
-1.2819999999999998,0.9323770361412218,0.21991723724130016,0.9060702766825777,0.12782554794214798,0.022623278493041427,0.09441935605748417,0.2670002241915797,0.20638595835868345,0.2897964347013648
-1.2799999999999998,0.9345715350296124,0.22097027728212063,0.9080727342264322,0.12849083372297676,0.02264406085686815,0.09451901984435414,0.2677967194906814,0.20666107368937003,0.29033844019814353
-1.278,0.9367792690082147,0.222032376527642,0.9100862720737263,0.1291630696584346,0.0226648814364099,0.09461889417707911,0.26859796726346763,0.20693692247073545,0.29088247147392676
-1.2759999999999998,0.9390003854294394,0.2231036574115392,0.9121110030507418,0.1298423650522584,0.022685740337168074,0.09471897972331095,0.2694040100466419,0.2072135076357375,0.2914285398763388
-1.274,0.9412350341669279,0.2241842447230112,0.9141470417614396,0.13052883150842257,0.02270663766503277,0.09481927715352632,0.27021489088452677,0.207490832132971,0.291976656837682
-1.2719999999999998,0.9434833676743336,0.22527426566649655,0.916194504625804,0.13122258299186568,0.022727573526284538,0.09491978714104181,0.27103065333663634,0.20776889892677267,0.2925268338757258
-1.27,0.9457455410458214,0.22637384992326645,0.9182535099192227,0.13192373589114562,0.022748548027596207,0.09502051036202863,0.271851341485382,0.20804771099732536,0.2930790825945043
-1.2679999999999998,0.9480217120783682,0.22748312971497683,0.9203241778129484,0.13263240908309964,0.02276956127603469,0.09512144749552814,0.2726769999439193,0.20832727134076473,0.2936334146851241
-1.266,0.9503120413359044,0.2286022398692428,0.9224066304156638,0.13334872399957928,0.022790613379062796,0.09522259922346685,0.2735076738641329,0.20860758296928533,0.29418984192657843
-1.2639999999999998,0.9526166922153859,0.22973131788732246,0.9245009918161999,0.13407280469634322,0.022811704444541097,0.09532396623067188,0.2743434089447687,0.2088886489112486,0.2947483761865743
-1.262,0.9549358310148442,0.23087050401398254,0.9266073881274318,0.13480477792418485,0.022832834580729714,0.09542554920488627,0.2751842514397108,0.20917047221129118,0.29530902942236525
-1.2599999999999998,0.9572696270035048,0.23201994130963646,0.9287259475314028,0.13554477320238456,0.022854003896290206,0.09552734883678461,0.2760302481664106,0.2094530559304341,0.2958718136815958
-1.258,0.9596182524940317,0.2331797757248371,0.9308568003257073,0.13629292289457007,0.02287521250028743,0.09562936581998865,0.2768814465144675,0.2097364031461933,0.2964367411031548
-1.2559999999999998,0.9619818829169937,0.23435015617722207,0.9330000789711843,0.13704936228708325,0.02289646050219142,0.09573160085108301,0.2777378944543693,0.21002051695269053,0.2970038239180379
-1.254,0.9643606968976145,0.23553123463100048,0.9351559181409532,0.1378142296699441,0.022917748011879232,0.09583405462963097,0.27859964054638847,0.21030540046076523,0.29757307445022063
-1.252,0.9667548763349114,0.2367231661790903,0.9373244547708529,0.13858766642051923,0.022939075139636878,0.09593672785819056,0.27946673394964716,0.21059105679808765,0.2981445051175412
-1.25,0.9691646064832916,0.23792610912800172,0.9395058281113127,0.1393698170899942,0.022960441996161207,0.09603962124233045,0.2803392244313438,0.21087748910927281,0.29871812843259254
-1.248,0.9715900760367132,0.2391402250855843,0.941700179780721,0.1401608294927651,0.022981848692561858,0.096142735490646,0.28121716237615507,0.21116470055599465,0.29929395700362577
-1.246,0.9740314772154997,0.2403656790517484,0.94390765382033,0.14096085479886114,0.023003295340363113,0.09624607131477586,0.28210059879580873,0.21145269431710229,0.299872003535463
-1.244,0.9764890058559094,0.24160263951228225,0.9461283967507582,0.1417700476295206,0.02302478205150592,0.09634962942941784,0.28298958533883684,0.2117414735887364,0.30045228083042125
-1.242,0.9789628615025643,0.24285127853589047,0.9483625576301357,0.14258856615604507,0.023046308938349757,0.09645341055234585,0.2838841743005097,0.2120310415844466,0.30103480178924624
-1.24,0.9814532475038532,0.24411177187458658,0.9506102881139619,0.14341657220206422,0.023067876113674664,0.09655741540442597,0.2847844186329559,0.21232140153531057,0.3016195794120579
-1.238,0.9839603711104095,0.24538429906757525,0.9528717425167196,0.1442542313493487,0.02308948369068315,0.09666164470963362,0.28569037195547203,0.21261255669005275,0.3022066267993053
-1.236,0.9864844435768002,0.24666904354877203,0.9551470778753204,0.1451017130473149,0.023111131783002226,0.09676609919506986,0.28660208856502817,0.21290451031516536,0.30279595715273444
-1.234,0.9890256802665395,0.24796619275810886,0.9574364540144373,0.14595919072637323,0.023132820504685354,0.09687077959097863,0.2875196234469691,0.21319726569502967,0.3033875837763657
-1.232,0.9915843007605595,0.24927593825678723,0.9597400336137938,0.1468268419152774,0.023154549970214478,0.09697568663076347,0.2884430322859204,0.21349082613203846,0.30398152007748314
-1.23,0.9941605289692751,0.2505984758466419,0.9620579822774763,0.14770484836263978,0.023176320294502024,0.09708082105100493,0.28937237147690076,0.21378519494671958,0.30457777956763527
-1.228,0.9967545932483874,0.25193400569379387,0.9643904686053454,0.1485933961627865,0.023198131592892926,0.09718618359147742,0.2903076981366466,0.21408037547786019,0.30517637586364804
-1.226,0.9993667265185702,0.253282732456772,0.9667376642666168,0.1494926758861338,0.023219983981166665,0.09729177499516686,0.2912490701151525,0.2143763710826325,0.3057773226886479
-1.224,1.0019971663891976,0.25464486541929826,0.9690997440756904,0.15040288271427546,0.023241877575539322,0.0973975960082879,0.29219654600743405,0.21467318513672004,0.306380633873099
-1.222,1.0046461552862767,0.2560206186279367,0.97147688607031,0.15132421657998077,0.02326381249266563,0.09750364738030157,0.293150185165516,0.2149708210344456,0.3069863233558508
-1.22,1.0073139405847573,0.2574102110348195,0.9738692715921381,0.15225688231231238,0.023285788849641054,0.09760992986393292,0.2941100477106522,0.21526928218889957,0.3075944051851989
-1.218,1.0100007747453887,0.25881386664567035,0.9762770853698259,0.1532010897870827,0.023307806764003854,0.09771644421518888,0.2950761945457824,0.2155685720320697,0.3082048935199576
-1.216,1.0127069154563237,0.2602318146733618,0.9787005156046822,0.1541570540828793,0.023329866353737214,0.09782319119337597,0.2960486873682301,0.2158686940149719,0.3088178026305458
-1.214,1.015432625779658,0.2616642896972512,0.981139754059025,0.1551249956429008,0.023351967737271315,0.09793017156111854,0.2970275886826491,0.21616965160778218,0.3094331469000853
-1.212,1.018178174303106,0.2631115318285507,0.9835949961473165,0.15610514044285564,0.023374111033485485,0.09803738608437666,0.298012961814222,0.2164714482999693,0.31005094082551155
-1.21,1.0209438352970435,0.26457378688200983,0.9860664410301921,0.15709772016519127,0.02339629636171029,0.09814483553246468,0.29900487092211747,0.2167740876004293,0.31067119901869894
-1.208,1.0237298888771247,0.2660513065541882,0.9885542917114768,0.1581029723799319,0.02341852384172972,0.09825252067806933,0.3000033810132132,0.21707757303762032,0.31129393620759765
-1.206,1.026536621172724,0.2675443486086257,0.9910587551383111,0.15912114073241887,0.023440793593783316,0.09836044229726829,0.3010085579560886,0.21738190815969888,0.3119191672373856
-1.204,1.0293643245014439,0.26905317706822335,0.9935800423044986,0.16015247513826247,0.02346310573856836,0.09846860116954886,0.30202046849529507,0.2176870965346577,0.3125469070716327
-1.202,1.032213297549954,0.2705780624151694,0.996118368357196,0.16119723198582891,0.023485460397242027,0.09857699807782673,0.3030391802659092,0.2179931417504638,0.31317717079347973
-1.2,1.0350838455614275,0.27211928179876094,0.9986739527070683,0.16225567434660398,0.023507857691423592,0.09868563380846468,0.3040647618083766,0.21830004741519884,0.31380997360683205
-1.198,1.0379762805298736,0.2736771192514924,1.0012470191420473,0.16332807219379233,0.023530297743196656,0.09879450915129173,0.3050972825836516,0.21860781715719946,0.31444533083756526
-1.196,1.0408909214016553,0.2752518659138,1.0038377959448221,0.16441470262952915,0.023552780675111316,0.0989036248996221,0.306136812988641,0.21891645462519974,0.31508325793474784
-1.194,1.043828094284517,0.2768438202678728,1.0064465160142073,0.1655158501211024,0.023575306610186437,0.09901298185027463,0.3071834243719588,0.21922596348847437,0.31572377047187705
-1.192,1.046788132664456,0.2784532883809668,1.0090734169905402,0.16663180674660405,0.02359787567191189,0.09912258080359199,0.3082371890499982,0.21953634743698353,0.31636688414812963
-1.19,1.0497713776307793,0.2800805841586759,1.0117187413852524,0.1677628724504498,0.02362048798425078,0.09923242256346029,0.3092981803233293,0.2198476101815179,0.3170126147896288
-1.188,1.0527781781097256,0.2817260296086474,1.0143827367147868,0.16890935530923382,0.02364314367164174,0.09934250793732856,0.31036647249343036,0.22015975545384642,0.31766097835072443
-1.186,1.0558088911070287,0.2833899551152473,1.017065655639021,0.1700715718084055,0.02366584285900122,0.0994528377362287,0.3114421408797598,0.2204727870068641,0.3183119909152916
-1.184,1.0588638819598373,0.2850726997257193,1.019767756104372,0.17124984713028563,0.023688585671725756,0.09956341277479512,0.31252526183717666,0.22078670861474145,0.318965668698042
-1.182,1.0619435245984181,0.28677461144840305,1.0224893014917702,0.1724445154539662,0.023711372235694292,0.09967423387128505,0.3136159127737198,0.22110152407307546,0.3196220280458525
-1.18,1.06504820181809,0.28849604756361646,1.0252305607696832,0.17365592026766719,0.02373420267727052,0.09978530184759835,0.314714172168752,0.22141723719904138,0.3202810854391109
-1.178,1.0681783055618739,0.2902373749478367,1.0279918086523963,0.1748844146941569,0.023757077123305177,0.09989661752929821,0.3158201195914797,0.22173385183154623,0.3209428574930762
-1.176,1.0713342372143448,0.29199897041185474,1.0307733257637486,0.17613036182987526,0.023779995701138416,0.10000818174563113,0.31693383571985523,0.22205137183138338,0.32160736095925696
-1.174,1.0745164079072327,0.29378122105361626,1.0335753988065453,0.1773941350984361,0.023802958538602186,0.10011999532954781,0.3180554023598739,0.22236980108138832,0.3222746127268052
-1.172,1.0777252388373129,0.2955845246265027,1.0363983207378653,0.17867611861922233,0.02382596576402257,0.10023205911772372,0.3191849024652719,0.2226891434865963,0.3229446298239292
